participant,Practice,Block,taskNr,size1,size2,Position,orientation,method,estimateRatio-Percentage,time,ParticipantAngle,condition,totaltime,code
5,false,2,5,0.88,1.00,1,horizontal,ratioPercentage,91,9.197693,162.7625,position1-horizontal,9818.125,0.88
5,false,2,6,0.48,1.00,1,horizontal,ratioPercentage,40,5.504517,162.8864,position1-horizontal,5506.781,0.48
5,false,2,7,0.68,1.00,2,horizontal,ratioPercentage,61,5.679138,170.1868,position2-horizontal,5685.75,0.68
5,false,2,8,0.88,1.00,0,horizontal,ratioPercentage,85,14.73721,88.73703,position0-horizontal,15369.19,0.88
5,false,2,9,0.48,1.00,2,horizontal,ratioPercentage,39,11.51172,170.1964,position2-horizontal,11952.28,0.48
5,false,2,10,0.68,1.00,1,horizontal,ratioPercentage,68,8.221344,162.8798,position1-horizontal,8231.844,0.68
5,false,2,11,0.58,1.00,1,horizontal,ratioPercentage,60,5.226563,162.8825,position1-horizontal,5227.438,0.58
5,false,2,12,0.18,1.00,2,horizontal,ratioPercentage,10,12.46982,170.1948,position2-horizontal,12476.59,0.18
5,false,2,13,0.88,1.00,2,horizontal,ratioPercentage,82,9.296417,170.2209,position2-horizontal,9304.375,0.88
5,false,2,14,0.28,1.00,1,horizontal,ratioPercentage,29,15.80182,162.849,position1-horizontal,15805.41,0.28
5,false,2,15,0.58,1.00,0,horizontal,ratioPercentage,60,6.238068,90.089,position0-horizontal,6880.688,0.58
5,false,2,16,0.28,1.00,2,horizontal,ratioPercentage,20,16.21432,170.258,position2-horizontal,16709.59,0.28
5,false,2,17,0.78,1.00,1,horizontal,ratioPercentage,86,11.0174,163.0083,position1-horizontal,11025.31,0.78
5,false,2,18,0.68,1.00,0,horizontal,ratioPercentage,73,8.755066,89.64536,position0-horizontal,9404.313,0.68
5,false,2,19,0.48,1.00,0,horizontal,ratioPercentage,46,5.919739,89.96701,position0-horizontal,5920.188,0.48
5,false,2,20,0.78,1.00,2,horizontal,ratioPercentage,73,14.37469,170.2497,position2-horizontal,14766.13,0.78
5,false,2,21,0.18,1.00,0,horizontal,ratioPercentage,19,13.57153,92.08922,position0-horizontal,14185.75,0.18
5,false,2,22,0.78,1.00,0,horizontal,ratioPercentage,80,10.40417,89.85975,position0-horizontal,10410.38,0.78
5,false,2,23,0.18,1.00,1,horizontal,ratioPercentage,12,12.2041,163.2014,position1-horizontal,12677.69,0.18
6,false,1,0,0.78,1.00,1,horizontal,ratioPercentage,85,14.31393,163.2298,position1-horizontal,14319.77,0.78
6,false,1,1,0.28,1.00,0,horizontal,ratioPercentage,21,20.86824,79.17139,position0-horizontal,22943.2,0.28
6,false,1,2,0.68,1.00,0,horizontal,ratioPercentage,71,16.71802,80.0777,position0-horizontal,16727.55,0.68
6,false,1,3,0.48,1.00,2,horizontal,ratioPercentage,32,37.23852,170.6228,position2-horizontal,38909.4,0.48
6,false,1,4,0.78,1.00,0,horizontal,ratioPercentage,77,38.46721,78.18078,position0-horizontal,39284.23,0.78
